Platinum Angel,Платиновый Ангел,Артефактное Существо — Ангел,"Полет
Вы не можете проиграть партию, а ваши оппоненты не могут выиграть партию."
Razormane Masticore,Саблегривая Мастикора,Артефактное Существо —  Мастикора,"Первый удар #(Это существо наносит боевые повреждения раньше существ без Первого удара.)#
В начале вашего шага поддержки пожертвуйте Саблегривую Мастикору, если только вы не сбросите карту.
В начале вашего шага взятия карты вы можете заставить Саблегривую Мастикору нанести 3 повреждения целевому существу."
March of the Machines,Шествие Машин,Чары,"Каждый артефакт-несущество является артефактным существом, сила и выносливость которого равняются его конвертированной мана-стоимости. #(Снаряжение, являющееся существом, не может снарядить существо.)#"
Spawning Pool,Нерестовый Омут,Земля,"Нерестовый Омут входит в игру повернутым.
{T}: Добавьте {B} в ваше хранилище маны.
{1}{B}: Нерестовый Омут становится существом 1/1 черный Скелет со способностью “{B}: Регенерируйте это существо” до конца хода. При этом он остается землей. #(Если он регенерируется, в следующий раз при его уничтожении в этом ходу, он не уничтожается. Вместо этого поверните его, снимите с него все повреждения и выведите его из боя.)#"
Ghitu Encampment,Лагерь Гиту,Земля,"Лагерь Гиту входит в игру повернутым.
{T}: Добавьте {R} в ваше хранилище маны.
{1}{R}: Лагерь Гиту становится существом 2/1 красный Воин с Первым ударом до конца хода. При этом он остается землей. #(Он наносит боевые повреждения раньше существ без Первого удара.)#"
Mimeofacture,Мимикфактура,Волшебство,"Копия {3}{U} #(Когда вы разыгрываете это заклинание, копируйте его каждый раз, когда вы уплатили стоимость его копирования. Для копий можно выбирать новые цели.)#
Выберите целевой перманент, который контролирует ваш оппонент. Найдите в библиотеке этого игрока карту с таким же названием и введите его в игру под своим контролем. Затем этот игрок тасует свою библиотеку."
Streetbreaker Wurm,Разрушающий улицы вурм,Существо — Вурм,
Giant Solifuge,Гигантская сольпуга,Существо — Насекомое,"#(За {RG} можно заплатить {R} или {G}.)#
Пробивающий удар, ускорение
Гигантская сольпуга не может стать целью заклинания или способности."
Sacred Mesa,Священная Гора,Чары,"В начале вашего шага поддержки, пожертвуйте Священную Гору, если вы не пожертвуете Пегаса.
{1}{W}: Положите в игру фишку существа белый Пегас 1/1 с полетом. "
Valor,ХХДоблесть,Существо — Инкарнация,"Первый удар
Пока Доблесть в вашем кладбище и вы контролируете Равнину, существа под вашим контролем имеют первый удар."
Chronatog Totem,Тотем Хронатога,Артефакт,"{T}: Добавьте {U} в ваше хранилище маны.
{1}{U}: Тотем Хронатога становится 1/2 синим артефактным существом Атог до конца хода.
{0}: Тотем Хронатога получает +3/+3 до конца хода. Вы пропускаете ваш следующий ход. Играйте эту способность только один раз в ход и только если Тотем Хронатога является существом."
Dandan,Дандан,Существо — Рыба,"Дандан не может атаковать, если защищающийся игрок не контролирует остров.
Когда вы не контролируете Островов, пожертвуйте Дандана."
Tendrils of Corruption,Усики Гнили,Мгновенное заклинание,"Усики Гнили наносят X повреждений целевому существу, и вы получаете X жизней, где X — количество Болот под вашим контролем."
Disintegrate,Дезинтегрировать,Волшебство," Дезинтегрировать наносит Х повреждений целевому существу или игроку. Это существо не может быть регенерировано на этом ходу. Если это существо будет положено на кладбище на этом ходу, вместо этого удалите его из игры."
Stormscape Familiar,Штормовой Помощник,Существо — Птица,"Полет  
Черные и белые заклинания, которые вы играете, стоят на {1} дешевле."
Sengir Autocrat,Сенгирский Автократ,Существо — Человек,"Когда Сенгирский Автократ входит в игру, положите в игру три жетона существ черный Пеон 0/1.
Когда Сенгирский Автократ покидает игру, удалите все жетоны Пеонов из игры."
Celestial Dawn,Небесный Рассвет,Чары,"Земли под вашим контролем являются Равнинами.
Неземельные карты, которыми вы владеете, но которые не в игре, а также заклинания под вашим контролем и неземельные перманенты под вашим контролем имеют белый цвет. Вы можете тратить белую ману, как будто это мана любого цвета. Вы можете тратить другую ману, как будто она бесцветна.
"
Lord of Atlantis,Лорд Атлантиды,Существо — Мерфолк Лорд,Другие Мерфолки получают +1/+1 и имеют знание островов.
Savage Thallid,Свирепый Таллид,Существо — Плесень,"В начале вашего шага поддержки положите один жетон споры на Свирепого Таллида.
Уберите три жетона споры со Свирепого Таллида: Положите одну фишку существа 1/1 зеленый Сапролинг в игру.
Пожертвуйте Сапролинга: Регенерируйте целевую Плесень."
Soul Collector,Коллекционер Душ,Существо — Вампир,"Полет
Когда существо, которому на этом ходу нанес повреждения Коллекционер Душ, попадает на кладбище, верните эту карту в игру под вашим контролем.
Оборотень {B}{B}{B} #(Вы можете играть это лицом вниз как 2/2 существо за {3}. Переверните его лицом вверх в любой момент за его стоимость оборотня.)#"
"Akroma, Angel of Wrath","Акрома, Ангел Ярости",Легендарное Существо — Ангел,"Полет, первый удар, бдительность, пробивной удар, ускорение, защита от черного, защита от красного"
Orgg,Оргг,Существо — Оргг,"Пробивной Удар
Оргг не может атаковать, если защищающийся игрок контролирует неповернутое существо с силой 3 или больше.
Оргг не может блокировать существ с силой 3 или больше."
Essence Sliver,Щепка Эссенции,Существо — Щепка,"Когда Щепка наносит повреждения, контролирующий ее игрок получает столько же жизней."
Watcher Sliver,Сторожевая Щепка,Существо — Щепка,Все Щепки получают +0/+2.
Scragnoth,Скрагнот,Существо — Зверь,Скрагнот не может быть отменен. Защита от синего.
Whispers of the Muse,Шепот Музы,Мгновенное Заклинание,"Выкуп {5} #(Вы можете заплатить дополнительно {5} при игре этого заклинания. Если вы делаете это, положите эту карту в вашу руку, когда она разрешится.)#
Возьмите карту."
Foriysian Interceptor,Форисиаский Перехватчик,Существо — Человек Солдат,"Миг #(Вы можете играть это заклинание в любое время, когда вы можете играть мгновенные заклинания.)#
Защитник
Форисианский Перехватчик может блокировать дополнительное существо."
Flowstone Channeler,Преобразователь Магического Камня,Существо — Человек Заклинатель,"{1}{R}, {T}, Сбросьте карту: Целевое существо получает +1/-1 и Ускорение до конца хода."
Temporal Isolation,Временная Изоляция,Чары — Аура,"Миг #(Вы можете играть это заклинание в любое время, когда вы можете играть мгновенные заклинания.)#
Зачаровать существо
Зачарованное существо имеет тень. #(Это существо может блокировать и быть заблокировано только существ(ами) с тенью.)#
Предотвратите все повреждения, которые будут нанесены зачарованным существом."
Swamp Mosquito,Болотный Комар,Существо — Насекомое,"Полет
Когда Болотный Комар атакует и не заблокирован, защищающийся игрок получает 1 жетон яда. #(Игрок с десятью или большим количеством жетонов яда проигрывает игру.)#"
Pull from Eternity,Возврат из Вечности,Мгновенное заклинание,"Положите целевую карту, которая удалена из игры, лицом вверх на кладбище владельца."
Mana Skimmer,Манарезка,Существо — Пиявка,"Полет
Когда Манарезка наносит повреждения игроку, поверните целевую землю под контролем этого игрока. Эта земля не разворачивается на следующем шаге разворота контролируещего ее игрока."
Wall of Roots,Стена Корней,Существо — Растение Стена,"Защитник
Положите жетон -0/-1 на Стену Корней: Добавьте {G} в ваше хранилище маны. Играйте эту способность только один раз за ход."
Kobold Taskmaster,Десятник Кобольдов,Существо — Кобольд,Другие Кобольды под вашим контролем получают +1/+0.
Auratog,Ауратог,Существо — Атог,Пожертвуйте чары: Ауратог получает +2/+2 до конца хода.
Crookclaw Transmuter,Маг Изогнутого Когтя,Существо — Птица Чародей,"Миг #(Вы можете играть это заклинание в любое время, когда вы можете играть мгновенные заклинания.)#
Полет
Когда Маг Изогнутого Когтя входит в игру, поменяйте силу и защиту целевого существа до конца хода."
Witch-Maw Nephilim,Нефилим с магической пастью,Существо — Нефилим,"Каждый раз, когда вы разыгрываете заклинание, вы можете поместить на Нефилима с магической пастью два счетчика +1/+1.
Каждый раз, когда Нефилим с магической пастью нападает, он получает пробивающий удар до конца хода, если его сила равна 10 и больше."
Dune-Brood Nephilim,"Нефилим, порождение дюн",Существо — Нефилим,"Каждый раз, когда Нефилим, порождение дюн, наносит игроку боевые повреждения, введите в игру по одной фишке бесцветного существа Песок 1/1 за каждую землю, которую вы контролируете."
Ink-Treader Nephilim,Нефилим с чернильным следом,Существо — Нефилим,"Каждый раз, когда игрок разыгрывает карту мгновенного заклинания или волшебства, если Нефилим с чернильным следом является единственной целью такого заклинания, копируйте заклинание для всех существ, которые могут стать его целью. Каждая копия при этом нацелена на одно из таких существ."
Yore-Tiller Nephilim,"Нефилим, взрыхляющий прошлое",Существо — Нефилим,"Каждый раз, когда Нефилим, взрыхляющий прошлое, нападает, верните в игру со своего кладбища карту целевого существа повернутым и нападающим."
Glint-Eye Nephilim,Нефилим с мерцающим глазом,Существо — Нефилим,"Каждый раз, когда Нефилим с мерцающим глазом наносит игроку боевые повреждения, возьмите столько карт, сколько было нанесено повреждений.
{1}, Сбросьте карту: Нефилим с мерцающим глазом получает +1/+1 до конца хода."
Sword of the Paruns,Меч Отцов,Артефакт — Снаряжение,"Пока снаряженное существо повернуто, все повернутые существа, которых вы контролируете, получают +2/+0.
Пока снаряженное существо развернуто, все развернутые существа, которых вы контролируете, получают +0/+2.
{3}: Поверните или разверните снаряженное существо.
Снарядить {3}"
Mizzium Transreliquat,Миззиумный трансреликварий,Артефакт,"{3}: Миззиумный трансреликварий становится копией целевого артефакта до конца хода.
{1}{U}{R}: Миззиумный трансреликварий становится копией целевого артефакта и получает эту способность."
Wildsize,Дикорост,Мгновенное заклинание,"Целевое существо получает +2/+2 и пробивающий удар до конца хода.
Возьмите карту."
Gruul War Plow,Боевой плуг Груулов,Артефакт,"Существа, которых вы контролируете, получают пробивающий удар.
{1}{R}{G}: До конца хода Боевой плуг Груулов становится артефактным существом Джаггернаут 4/4."
Poisonbelly Ogre,Огр Ядовитое Брюхо,Существо — Огр Воин,"Каждый раз, когда другое существо вступает в игру, контролирующий его игрок теряет 1 жизнь."
Demonfire,Демонический огонь,Волшебство,"Демонический огонь наносит X повреждений целевому существу или игроку. Если существо, получившее эти повреждения, должно попасть на кладбище в этот ход, вместо этого выведите его из игры.
#Безрассудство# — Если у вас в руке нет карт, Демонический огонь нельзя прервать заклинаниями или способностями, и повреждения нельзя предотвратить."
Freewind Equenaut,Эквенавт вольного ветра,Существо — Человек Лучник,"Полет
Пока Эквенавт вольного ветра зачарована, она получает способность “{T}: Эквенавт вольного ветра наносит 2 повреждения целевому нападающему или блокирующему существу”."
Psychic Possession,Психическое обладание,Чары — Аура,"Зачаровать оппонента
Пропустите свой этап взятия карты.
Каждый раз, когда зачарованный оппонент берет карту, вы можете взять карту."
Cackling Flames,Трескучее пламя,Мгновенное заклинание,"Трескучее пламя наносит 3 повреждения целевому существу или игроку.
#Безрассудство# — Если в вашей руке нет карт, вместо этого Трескучее пламя наносит 5 повреждений этому существу или игроку."
Trial/Error,Проба,Мгновенное заклинание,"Верните все существа, блокирующие целевое существо или блокируемые им, в руку владельца.
//
Ошибка
{U}{B}
Мгновенное заклинание
Прервите целевое многоцветное заклинание."
Mistral Charger,Небесная кобылица,Существо — Пегас,Полет
Sporeback Troll,Спороспинный тролль,Существо — Тролль Мутант,"Прививка 2 #(Это существо входит в игру с двумя счетчиками +1/+1. Каждый раз, когда в игру входит другое существо, вы можете переместить на него счетчик +1/+1 с этого существа).#
{1}{G}: Регенерируйте целевое существо со счетчиком +1/+1."
Flash Foliage,Внезапная листва,Мгновенное заклинание,"Введите в игру фишку зеленого существа Сапролинга 1/1 блокирующим целевое существо, нападающее на вас.
Возьмите карту."
Court Hussar,Судебный гусар,Существо — Ведалкен Рыцарь,"Бдительность
Когда Судебный гусар входит в игру, посмотрите 3 верхние карты своей библиотеки, затем положите одну из них в свою руку, а остальные — в низ своей библиотеки в любом порядке.
Когда Судебный гусар входит в игру, пожертвуйте его, если на его розыгрыш не было потрачено {W}."
Haazda Shield Mate,Щитоносец Хаазды,Существо — Человек Солдат,"В начале вашего этапа поддержки пожертвуйте Щитоносца Хаазды или заплатите {W}{W}.
{W}: В следующий раз, когда выбранный вами источник в этот ход будет наносить вам повреждения, предотвратите эти повреждения."
Ratcatcher,Крысолов,Существо — Огр Бродяга,"Страх
В начале своего этапа поддержки вы можете найти в своей библиотеке карту Крысы, показать ее и поместить в свою руку. Если вы это сделаете, перетасуйте свою библиотеку."
Safe Haven,Надежное Убежище,Земля,"{2}, {T}: Удалите целевое существо под вашим контролем из игры.
В начале вашего шага поддержки вы можете пожертвовать Надежное Убежище. Если вы это сделаете, то верните все карты, удаленные из игры Надежным Убежищем, в игру под контролем их владельца."
Utvara Scalper,Собиратель скальпов из Утвары,Существо — Гоблин Разведчик,"Полет
Собиратель скальпов из Утвары нападает каждый ход, если может."
Biomantic Mastery,Знание биомантики,Волшебство,"#(За {GU} можно заплатить {G} или {U}.)#
Возьмите карты по числу существ под контролем целевого игрока, затем возьмите карты по числу существ под контролем другого целевого игрока."
Evil Eye of Orms-by-Gore,Злой Глаз Орма-на-Крови,Существо — Глаз,"Существа без типа Глаз под вашим контролем не могут атаковать.
Злой Глаз Орма-на-Крови не может быть блокирован никем, кроме Стен."
Pillar of the Paruns,Столп Отцов,Земля,{T}: Добавьте 1 ману любого цвета в свой запас маны. Тратьте эту ману только на розыгрыш многоцветных заклинаний.
Goblin Snowman,Гоблин Снеговик,Существо — Гоблин,"Когда Гоблин Снеговик блокирует, предотвратите все боевые повреждения, наносимые им и ему.
{T}: Гоблин Снеговик наносит 1 повреждение целевому существу, которое он блокирует."
Spell Snare,Ловушка заклинаний,Мгновенное заклинание,Прервите целевое заклинание с общей мановой стоимостью 2.
Hunting Moa,Охотящаяся Птица Моа,Существо — Птица,"Эхо {2}{G} #(В начале вашего шага поддержки, если это существо попало под ваш контроль с момента начала вашего предыдущего шага поддержки, пожертвуйте его, если вы не заплатите его эхо-стоимость.)# 
Когда Охотящаяся Птица Моа входит в игру или попадает на кладбище из игры, положите жетон +1/+1 на целевое существо."
Icatian Javelineers,Айкейшунские Метатели Дротиков,Существо — Человек Солдат,"Айкейшунские Метатели Дротиков входят в игру с жетоном дротика на себе.
{T}, Уберите жетон дротика с Айкейшунских Метателей Дротиков: Айкейшунские Метатели Дротиков наносят 1 повреждение целевому существу или игроку."
Swift Silence,Внезапная тишина,Мгновенное заклинание,"Прервите все остальные заклинания. Возьмите карту за каждое заклинание, прерванное таким образом."
Crime/Punishment,Преступление,Волшебство,"Введите  в игру под вашим контролем целевую карту существа или чар с кладбища оппонента.
//
Наказание
{X}{B}{G}
Волшебство
Уничтожьте все артефакты, существа и чары с общей мановой стоимостью Х."
Plaxmanta,Плаксовая манта,Существо — Зверь,"Вы можете разыграть Плаксовую манту в любое время, когда вы можете разыгрывать мгновенное заклинание.
Когда Плаксовая манта входит в игру, в этот ход существа под вашим контролем не могут становиться целью заклинаний или способностей.
Когда Плаксовая манта входит в игру, пожертвуйте ее, если на ее розыгрыш не было потрачено {G}."
Dauthi Slayer,Доути Убийца,Существо — Доути Солдат,"Тень #(Это существо может блокировать или быть заблокированным только существами со свойством тень.)#
Доути-убийца атакует каждый ход, если может."
Flying Men,Летун,Существо — Человек,Полет
Vigean Hydropon,Гидропон Вига,Существо — Растение Мутант,"Прививка 5 #(Это существо входит в игру с пятью счетчиками +1/+1. Каждый раз, когда в игру входит другое существо, вы можете переместить на него счетчик +1/+1 с этого существа).#
Гидропон Вига не может ни нападать, ни блокировать."
Ghost Ship,Призрачный Корабль,Существо — Дух,"Полет
{U}{U}{U}: Регенерировать Призрачный Корабль."
Hail Storm,Гроза с Градом,Мгновенное Заклинание,Гроза с Градом наносит по 2 повреждения каждому атакующему существу и по 1 повреждению вам и каждому существу под вашим контролем.
Browbeat,Застращать,Волшебство,"Любой игрок может выбрать, чтобы Застращать нанес ему или ей 5 повреждений. Если никто этого не сделает, то целевой игрок берет три карты. "
Stormscale Anarch,Штормочешуйный анархист,Существо — Виашино Шаман,"{2}{R}, Сбросьте карту случайным образом: Штормочешуйный анархист наносит 2 повреждения целевому существу или игроку. Если сброшенная карта была многоцветной, вместо этого Штормочешуйный анархист наносит 4 повреждения этому существу или игроку."
Stalking Vengeance,Преследующее мщение,Существо — Аватара,"Ускорение
Каждый раз, когда другое существо под вашим контролем попадает из игры на кладбище, оно наносит целевому игроку повреждения, равные его силе."
Disenchant,Разочаровывать,Мгновенное Заклинание,Уничтожьте целевой артефакт или чары.
Squealing Devil,Визжащий дьявол,Существо — Дьявол,"Страх
Когда Визжащий дьявол входит в игру, вы можете уплатить {X}. Если вы это делаете, целевое существо получает +X/+0 до конца хода.
Когда Визжащий дьявол входит в игру, пожертвуйте его, если на его розыгрыш не было потрачено {B}."
Bond of Agony,Оковы страданий,Волшебство,"В качестве дополнительной стоимости Оков страданий уплатите Х жизней.
Каждый другой игрок теряет Х жизней."
Blessing of the Nephilim,Благословение нефилима,Чары — Аура,"Зачаровать существо
Зачарованное существо получает +1/+1 за каждый свой цвет."
Infernal Tutor,Адский учитель,Волшебство,"Покажите карту из своей руки. Найдите в своей библиотеке карту с таким же названием, покажите ее, поместите ее в руку и затем перетасуйте свою библиотеку.
#Безрассудство# — Если у вас в руке нет карт, вместо этого найдите карту в своей библиотеке, поместите ее в свою руку и затем перетасуйте свою библиотеку."
Carom,Карамболь,Мгновенное заклинание,"Следующее 1 повреждение, которое будет нанесено целевому существу в этот ход, вместо этого будет нанесено другому целевому существу.
Возьмите карту."
Cytospawn Shambler,Шаркающий циторассадник,Существо — Элементаль Мутант,"Прививка 6 #(Это существо входит в игру с шестью счетчиками +1/+1. Каждый раз, когда в игру входит другое существо, вы можете переместить на него счетчик +1/+1 с этого существа).#
{G}: Целевое существо со счетчиком +1/+1 получает способность Пробивающий удар до конца хода."
Silkwing Scout,Шелкокрылая разведчица,Существо — Фея Разведчик,"Полет
{G}, Пожертвуйте Шелкокрылую разведчицу: Найдите в своей библиотеке карту базовой земли и введите ее в игру повернутой. Затем перетасуйте библиотеку."
Hide/Seek,Прятки,Мгновенное заклинание,"Поместите целевой артефакт или целевые чары в низ библиотеки владельца.
//
Находки
{W}{B}
Мгновенное заклинание
Найдите карту в библиотеке целевого оппонента и выведите эту карту из игры.  Вы получаете жизнь, равную общей мановой стоимости этой карты. Затем этот игрок тасует свою библиотеку."
Celestial Ancient,Небесная древность,Существо — Элементаль,"Полет
Каждый раз, когда вы разыгрываете заклинание чар, поместите счетчик +1/+1 на каждое существо под вашим контролем."
Might of the Nephilim,Мощь нефилима,Мгновенное заклинание,До конца хода целевое существо получает +2/+2 за каждый свой цвет.
Vigean Graftmage,Мастер прививок Вига,Существо — Ведалкен Чародей Мутант,"Прививка 2 #(Это существо входит в игру с двумя счетчиками +1/+1. Каждый раз, когда в игру входит другое существо, вы можете переместить на него счетчик +1/+1 с этого существа).#
{1}{U}: Разверните целевое существо со счетчиком +1/+1."
Dread Slag,Ужасающий шлак,Существо — Ужас,"Пробивающий удар
Ужасающий шлак получает -4/-4 за каждую карту в вашей руке."
Skullmead Cauldron,Варево из черепов,Артефакт,"{T}: Вы получаете 1 жизнь.
{T}, Сбросьте карту: Вы получаете 3 жизни."
Bronze Bombshell,Бронзовая мина,Артефактное существо — Механизм,"Если Бронзовую мину контролирует не ее владелец, этот игрок жертвует ее. Если игрок это делает, Бронзовая мина наносит ему 7 повреждений."
Ocular Halo,Оптический ореол,Чары — Аура,"Зачаровать существо
Зачарованное существо получает способность “{T}: Возьмите карту”.
{W}: Зачарованное существо получает Бдительность до конца хода."
Grand Arbiter Augustin IV,Верховный судья Августин IV,Легендарное существо — Человек Советник,"Разыгрываемые вами белые заклинания стоят на {1} меньше
Разыгрываемые вами синие заклинания стоят на {1} меньше.
Заклинания, разыгрываемые вашими оппонентами, стоят на {1} больше."
Crypt Champion,Защитник склепа,Существо — Зомби,"Двойной удар
Когда Защитник склепа входит в игру, каждый игрок вводит в игру со своего кладбища карту существа с общей мановой стоимостью 3 или меньше.
Когда Защитник склепа входит в игру, пожертвуйте его, если на его розыгрыш не было потрачено {R}."
Flame-Kin War Scout,Пламенник - военный разведчик,Существо — Элементаль Разведчик,"Когда в игру входит другое существо, пожертвуйте Пламенника — военного разведчика. Если вы это делаете, Пламенник — военный разведчик наносит этому существу 4 повреждения."
Psychotic Fury,Психотическая ярость,Мгновенное заклинание,"Целевое многоцветное существо получает двойной удар до конца хода.
Возьмите карту."
Brain Pry,Выпытывание,Волшебство,"Назовите карту не земли. Целевой оппонент показывает свою руку. Этот игрок сбрасывает карту с таким названием. Если он не может этого сделать, вы берете карту."
Proclamation of Rebirth,Провозглашение возрождения,Волшебство,"Верните со своего кладбища в игру до 3 целевых карт существ с общей мановой стоимостью 1 или меньше.
Предвидение — {5}{W}, Покажите Провозглашение возрождения из своей руки: Верните целевую карту существа с общей мановой стоимостью 1 или меньше со своего кладбища в игру. #(Разыгрывайте эту способность только во время своего этапа поддержки и только один раз за ход.)#"
